Energy (keV),Percent Absorption
226.144466185702,99.4117647058823
255.280442425227,98.4313725490196
279.006316237724,97.0588235294117
300.04955185689,95.4901960784313
349.832093577503,92.3529411764705
382.345638402671,90
401.336604423706,88.8235294117647
442.195211258821,86.2745098039215
471.719913821329,84.5098039215686
503.215935925999,82.9411764705882
563.478296504828,80
601.100886440558,78.4313725490196
700.832180063009,74.9019607843137
804.013161116785,71.5686274509803
864.653502950036,70
900.297335695209,69.0196078431372
999.999999999999,66.6666666666666
